Service_Line,Passengers,Day_and_Time,Day_of_the_week
Line J,1444,2023-02-17 04:00:00,Friday
Line K,2315,2023-02-17 04:00:00,Friday
Line L,0,2023-02-17 04:00:00,Friday
Line M,361,2023-02-17 04:00:00,Friday
Line O,244,2023-02-17 04:00:00,Friday
Line P,1236,2023-02-17 04:00:00,Friday
Line T,1374,2023-02-17 04:00:00,Friday
Line 1,2307,2023-02-18 04:00:00,Saturday
Line 2,133,2023-02-18 04:00:00,Saturday
Line A,12200,2023-02-18 04:00:00,Saturday
Line B,2279,2023-02-18 04:00:00,Saturday
Line H,165,2023-02-18 04:00:00,Saturday
Line J,1009,2023-02-18 04:00:00,Saturday
Line K,1994,2023-02-18 04:00:00,Saturday
Line L,0,2023-02-18 04:00:00,Saturday
Line M,258,2023-02-18 04:00:00,Saturday
Line O,185,2023-02-18 04:00:00,Saturday
Line P,942,2023-02-18 04:00:00,Saturday
Line T,1021,2023-02-18 04:00:00,Saturday
Line 1,479,2023-02-19 04:00:00,Sunday
Line 2,21,2023-02-19 04:00:00,Sunday
Line A,3629,2023-02-19 04:00:00,Sunday
Line B,684,2023-02-19 04:00:00,Sunday
Line H,0,2023-02-19 04:00:00,Sunday
Line J,0,2023-02-19 04:00:00,Sunday
Line K,0,2023-02-19 04:00:00,Sunday
Line L,0,2023-02-19 04:00:00,Sunday
Line M,0,2023-02-19 04:00:00,Sunday
Line O,22,2023-02-19 04:00:00,Sunday
Line P,0,2023-02-19 04:00:00,Sunday
Line T,151,2023-02-19 04:00:00,Sunday
Line 1,1347,2023-02-20 04:00:00,Monday
Line 2,255,2023-02-20 04:00:00,Monday
Line A,17050,2023-02-20 04:00:00,Monday
Line B,3299,2023-02-20 04:00:00,Monday
Line H,257,2023-02-20 04:00:00,Monday
Line J,1487,2023-02-20 04:00:00,Monday
Line K,2410,2023-02-20 04:00:00,Monday
Line L,0,2023-02-20 04:00:00,Monday
Line M,370,2023-02-20 04:00:00,Monday
Line O,267,2023-02-20 04:00:00,Monday
Line P,1419,2023-02-20 04:00:00,Monday
Line T,1440,2023-02-20 04:00:00,Monday
Line 1,1412,2023-02-21 04:00:00,Tuesday
Line 2,266,2023-02-21 04:00:00,Tuesday
Line A,16713,2023-02-21 04:00:00,Tuesday
Line B,3185,2023-02-21 04:00:00,Tuesday
Line H,244,2023-02-21 04:00:00,Tuesday
Line J,1509,2023-02-21 04:00:00,Tuesday
Line K,2412,2023-02-21 04:00:00,Tuesday
Line L,0,2023-02-21 04:00:00,Tuesday
Line M,344,2023-02-21 04:00:00,Tuesday
Line O,267,2023-02-21 04:00:00,Tuesday
Line P,1382,2023-02-21 04:00:00,Tuesday
Line T,1473,2023-02-21 04:00:00,Tuesday
Line 1,1296,2023-02-22 04:00:00,Wednesday
Line 2,296,2023-02-22 04:00:00,Wednesday
Line A,17198,2023-02-22 04:00:00,Wednesday
Line B,3148,2023-02-22 04:00:00,Wednesday
Line H,245,2023-02-22 04:00:00,Wednesday
Line J,1520,2023-02-22 04:00:00,Wednesday
Line K,2452,2023-02-22 04:00:00,Wednesday
Line L,0,2023-02-22 04:00:00,Wednesday
Line M,342,2023-02-22 04:00:00,Wednesday
Line O,91,2023-02-22 04:00:00,Wednesday
Line P,1487,2023-02-22 04:00:00,Wednesday
Line T,1411,2023-02-22 04:00:00,Wednesday
Line 1,2774,2023-02-23 04:00:00,Thursday
Line 2,184,2023-02-23 04:00:00,Thursday
Line A,16783,2023-02-23 04:00:00,Thursday
Line B,3440,2023-02-23 04:00:00,Thursday
Line H,248,2023-02-23 04:00:00,Thursday
Line J,995,2023-02-23 04:00:00,Thursday
Line K,2477,2023-02-23 04:00:00,Thursday
Line L,0,2023-02-23 04:00:00,Thursday
Line M,367,2023-02-23 04:00:00,Thursday
Line O,238,2023-02-23 04:00:00,Thursday
Line P,1390,2023-02-23 04:00:00,Thursday
Line T,1476,2023-02-23 04:00:00,Thursday
Line 1,2948,2023-02-24 04:00:00,Friday
Line 2,161,2023-02-24 04:00:00,Friday
Line A,16225,2023-02-24 04:00:00,Friday
Line B,3278,2023-02-24 04:00:00,Friday
Line H,237,2023-02-24 04:00:00,Friday
Line J,1473,2023-02-24 04:00:00,Friday
Line K,2439,2023-02-24 04:00:00,Friday
Line L,0,2023-02-24 04:00:00,Friday
Line M,369,2023-02-24 04:00:00,Friday
Line O,239,2023-02-24 04:00:00,Friday
Line P,1372,2023-02-24 04:00:00,Friday
Line T,1463,2023-02-24 04:00:00,Friday
Line 1,2166,2023-02-25 04:00:00,Saturday
Line 2,129,2023-02-25 04:00:00,Saturday
Line A,12257,2023-02-25 04:00:00,Saturday
Line B,2341,2023-02-25 04:00:00,Saturday
Line H,166,2023-02-25 04:00:00,Saturday
Line J,1065,2023-02-25 04:00:00,Saturday
Line K,2049,2023-02-25 04:00:00,Saturday
Line L,0,2023-02-25 04:00:00,Saturday
Line M,263,2023-02-25 04:00:00,Saturday
Line O,167,2023-02-25 04:00:00,Saturday
Line P,1013,2023-02-25 04:00:00,Saturday
Line T,1114,2023-02-25 04:00:00,Saturday
Line 1,464,2023-02-26 04:00:00,Sunday
Line 2,15,2023-02-26 04:00:00,Sunday
Line A,3530,2023-02-26 04:00:00,Sunday
Line B,1746,2023-02-26 04:00:00,Sunday
Line H,0,2023-02-26 04:00:00,Sunday
Line J,0,2023-02-26 04:00:00,Sunday
Line K,0,2023-02-26 04:00:00,Sunday
Line L,0,2023-02-26 04:00:00,Sunday
Line M,0,2023-02-26 04:00:00,Sunday
Line O,13,2023-02-26 04:00:00,Sunday
Line P,0,2023-02-26 04:00:00,Sunday
Line T,196,2023-02-26 04:00:00,Sunday
Line 1,3042,2023-02-27 04:00:00,Monday
Line 2,158,2023-02-27 04:00:00,Monday
Line A,17015,2023-02-27 04:00:00,Monday
Line B,3354,2023-02-27 04:00:00,Monday
Line H,253,2023-02-27 04:00:00,Monday
Line J,1462,2023-02-27 04:00:00,Monday
Line K,2425,2023-02-27 04:00:00,Monday
Line M,352,2023-02-27 04:00:00,Monday
Line O,243,2023-02-27 04:00:00,Monday
Line P,1416,2023-02-27 04:00:00,Monday
Line T,1463,2023-02-27 04:00:00,Monday
Line 1,2969,2023-02-28 04:00:00,Tuesday
Line 2,170,2023-02-28 04:00:00,Tuesday
Line A,16445,2023-02-28 04:00:00,Tuesday
Line B,3132,2023-02-28 04:00:00,Tuesday
Line H,248,2023-02-28 04:00:00,Tuesday
Line J,1485,2023-02-28 04:00:00,Tuesday
Line K,2471,2023-02-28 04:00:00,Tuesday
Line L,0,2023-02-28 04:00:00,Tuesday
Line M,355,2023-02-28 04:00:00,Tuesday
Line O,255,2023-02-28 04:00:00,Tuesday
Line P,1463,2023-02-28 04:00:00,Tuesday
Line T,1427,2023-02-28 04:00:00,Tuesday
Line 1,3003,2023-03-01 04:00:00,Wednesday
Line 2,179,2023-03-01 04:00:00,Wednesday
Line A,16629,2023-03-01 04:00:00,Wednesday
Line B,3152,2023-03-01 04:00:00,Wednesday
Line H,232,2023-03-01 04:00:00,Wednesday
Line J,1510,2023-03-01 04:00:00,Wednesday
Line K,2393,2023-03-01 04:00:00,Wednesday
Line L,0,2023-03-01 04:00:00,Wednesday
Line M,365,2023-03-01 04:00:00,Wednesday
Line O,226,2023-03-01 04:00:00,Wednesday
Line P,1439,2023-03-01 04:00:00,Wednesday
Line T,1390,2023-03-01 04:00:00,Wednesday
Line 1,3055,2023-03-02 04:00:00,Thursday
Line 2,170,2023-03-02 04:00:00,Thursday
Line A,16432,2023-03-02 04:00:00,Thursday
Line B,3144,2023-03-02 04:00:00,Thursday
Line H,223,2023-03-02 04:00:00,Thursday
Line J,1471,2023-03-02 04:00:00,Thursday
Line K,2414,2023-03-02 04:00:00,Thursday
Line L,0,2023-03-02 04:00:00,Thursday
Line M,366,2023-03-02 04:00:00,Thursday
Line O,235,2023-03-02 04:00:00,Thursday
Line P,1386,2023-03-02 04:00:00,Thursday
Line T,1399,2023-03-02 04:00:00,Thursday
Line 1,3018,2023-03-03 04:00:00,Friday
Line 2,172,2023-03-03 04:00:00,Friday
Line A,16383,2023-03-03 04:00:00,Friday
Line B,3214,2023-03-03 04:00:00,Friday
Line H,238,2023-03-03 04:00:00,Friday
Line J,1440,2023-03-03 04:00:00,Friday
Line K,2430,2023-03-03 04:00:00,Friday
Line L,0,2023-03-03 04:00:00,Friday
Line M,372,2023-03-03 04:00:00,Friday
Line O,230,2023-03-03 04:00:00,Friday
Line P,1416,2023-03-03 04:00:00,Friday
Line T,1396,2023-03-03 04:00:00,Friday
Line 1,2192,2023-03-04 04:00:00,Saturday
Line 2,144,2023-03-04 04:00:00,Saturday
Line A,12019,2023-03-04 04:00:00,Saturday
Line B,2372,2023-03-04 04:00:00,Saturday
Line H,159,2023-03-04 04:00:00,Saturday
Line J,1082,2023-03-04 04:00:00,Saturday
Line K,1932,2023-03-04 04:00:00,Saturday
Line L,0,2023-03-04 04:00:00,Saturday
Line M,253,2023-03-04 04:00:00,Saturday
Line O,181,2023-03-04 04:00:00,Saturday
Line P,988,2023-03-04 04:00:00,Saturday
Line T,1030,2023-03-04 04:00:00,Saturday
Line 1,446,2023-03-05 04:00:00,Sunday
Line 2,15,2023-03-05 04:00:00,Sunday
Line A,3364,2023-03-05 04:00:00,Sunday
Line B,679,2023-03-05 04:00:00,Sunday
Line H,0,2023-03-05 04:00:00,Sunday
Line J,0,2023-03-05 04:00:00,Sunday
Line K,0,2023-03-05 04:00:00,Sunday
Line L,0,2023-03-05 04:00:00,Sunday
Line M,0,2023-03-05 04:00:00,Sunday
Line O,32,2023-03-05 04:00:00,Sunday
Line P,0,2023-03-05 04:00:00,Sunday
Line T,165,2023-03-05 04:00:00,Sunday
Line 1,2982,2023-03-06 04:00:00,Monday
Line 2,180,2023-03-06 04:00:00,Monday
Line A,16059,2023-03-06 04:00:00,Monday
Line B,3253,2023-03-06 04:00:00,Monday
Line H,239,2023-03-06 04:00:00,Monday
Line J,1494,2023-03-06 04:00:00,Monday
Line K,2421,2023-03-06 04:00:00,Monday
Line M,0,2023-03-06 04:00:00,Monday
Line O,244,2023-03-06 04:00:00,Monday
Line P,1321,2023-03-06 04:00:00,Monday
Line T,1128,2023-03-06 04:00:00,Monday
Line 1,2965,2023-03-07 04:00:00,Tuesday
Line 2,189,2023-03-07 04:00:00,Tuesday
Line A,16432,2023-03-07 04:00:00,Tuesday
Line B,3314,2023-03-07 04:00:00,Tuesday
Line H,243,2023-03-07 04:00:00,Tuesday
Line J,1476,2023-03-07 04:00:00,Tuesday
Line K,2462,2023-03-07 04:00:00,Tuesday
Line L,0,2023-03-07 04:00:00,Tuesday
Line M,375,2023-03-07 04:00:00,Tuesday
Line O,285,2023-03-07 04:00:00,Tuesday
Line P,1386,2023-03-07 04:00:00,Tuesday
Line T,1433,2023-03-07 04:00:00,Tuesday
Line 1,2910,2023-03-08 04:00:00,Wednesday
Line 2,181,2023-03-08 04:00:00,Wednesday
Line A,15030,2023-03-08 04:00:00,Wednesday
Line B,3191,2023-03-08 04:00:00,Wednesday
Line H,225,2023-03-08 04:00:00,Wednesday
Line J,1413,2023-03-08 04:00:00,Wednesday
Line K,2442,2023-03-08 04:00:00,Wednesday
Line L,0,2023-03-08 04:00:00,Wednesday
Line M,331,2023-03-08 04:00:00,Wednesday
Line O,235,2023-03-08 04:00:00,Wednesday
Line P,1307,2023-03-08 04:00:00,Wednesday
Line T,1322,2023-03-08 04:00:00,Wednesday
Line 1,2924,2023-03-09 04:00:00,Thursday
Line 2,184,2023-03-09 04:00:00,Thursday
Line A,16212,2023-03-09 04:00:00,Thursday
Line B,3172,2023-03-09 04:00:00,Thursday
Line H,224,2023-03-09 04:00:00,Thursday
Line J,1465,2023-03-09 04:00:00,Thursday
Line K,2441,2023-03-09 04:00:00,Thursday
Line L,0,2023-03-09 04:00:00,Thursday
Line M,376,2023-03-09 04:00:00,Thursday
Line O,259,2023-03-09 04:00:00,Thursday
Line P,1332,2023-03-09 04:00:00,Thursday
Line T,1425,2023-03-09 04:00:00,Thursday
Line 1,2970,2023-03-10 04:00:00,Friday
Line 2,182,2023-03-10 04:00:00,Friday
Line A,16206,2023-03-10 04:00:00,Friday
Line B,3157,2023-03-10 04:00:00,Friday
Line H,241,2023-03-10 04:00:00,Friday
Line J,1448,2023-03-10 04:00:00,Friday
Line K,2380,2023-03-10 04:00:00,Friday
Line L,0,2023-03-10 04:00:00,Friday
Line M,381,2023-03-10 04:00:00,Friday
Line O,253,2023-03-10 04:00:00,Friday
Line P,1373,2023-03-10 04:00:00,Friday
Line T,1408,2023-03-10 04:00:00,Friday
Line 1,2225,2023-03-11 04:00:00,Saturday
Line 2,127,2023-03-11 04:00:00,Saturday
Line A,12264,2023-03-11 04:00:00,Saturday
Line B,2296,2023-03-11 04:00:00,Saturday
Line H,169,2023-03-11 04:00:00,Saturday
Line J,1016,2023-03-11 04:00:00,Saturday
Line K,1988,2023-03-11 04:00:00,Saturday
Line L,0,2023-03-11 04:00:00,Saturday
Line M,267,2023-03-11 04:00:00,Saturday
Line O,190,2023-03-11 04:00:00,Saturday
Line P,971,2023-03-11 04:00:00,Saturday
Line T,1006,2023-03-11 04:00:00,Saturday
Line 1,431,2023-03-12 04:00:00,Sunday
Line 2,10,2023-03-12 04:00:00,Sunday
Line A,3473,2023-03-12 04:00:00,Sunday
Line B,685,2023-03-12 04:00:00,Sunday
Line H,0,2023-03-12 04:00:00,Sunday
Line J,0,2023-03-12 04:00:00,Sunday
Line K,0,2023-03-12 04:00:00,Sunday
Line L,0,2023-03-12 04:00:00,Sunday
Line M,0,2023-03-12 04:00:00,Sunday
Line O,17,2023-03-12 04:00:00,Sunday
Line P,0,2023-03-12 04:00:00,Sunday
Line T,163,2023-03-12 04:00:00,Sunday
Line 1,2993,2023-03-13 04:00:00,Monday
Line 2,192,2023-03-13 04:00:00,Monday
Line A,16660,2023-03-13 04:00:00,Monday
Line B,3232,2023-03-13 04:00:00,Monday
Line H,249,2023-03-13 04:00:00,Monday
Line J,1480,2023-03-13 04:00:00,Monday
Line K,2463,2023-03-13 04:00:00,Monday
Line M,363,2023-03-13 04:00:00,Monday
Line O,263,2023-03-13 04:00:00,Monday
Line P,1385,2023-03-13 04:00:00,Monday
Line T,1427,2023-03-13 04:00:00,Monday
Line 1,2960,2023-03-14 04:00:00,Tuesday
Line 2,200,2023-03-14 04:00:00,Tuesday
Line A,16536,2023-03-14 04:00:00,Tuesday
Line B,3093,2023-03-14 04:00:00,Tuesday
Line H,240,2023-03-14 04:00:00,Tuesday
Line J,1446,2023-03-14 04:00:00,Tuesday
Line K,2443,2023-03-14 04:00:00,Tuesday
Line L,0,2023-03-14 04:00:00,Tuesday
Line M,366,2023-03-14 04:00:00,Tuesday
Line O,281,2023-03-14 04:00:00,Tuesday
Line P,1411,2023-03-14 04:00:00,Tuesday
Line T,1421,2023-03-14 04:00:00,Tuesday
Line 1,3093,2023-03-15 04:00:00,Wednesday
Line 2,201,2023-03-15 04:00:00,Wednesday
Line A,16720,2023-03-15 04:00:00,Wednesday
Line B,3155,2023-03-15 04:00:00,Wednesday
Line H,217,2023-03-15 04:00:00,Wednesday
Line J,1456,2023-03-15 04:00:00,Wednesday
Line K,2417,2023-03-15 04:00:00,Wednesday
Line L,0,2023-03-15 04:00:00,Wednesday
Line M,387,2023-03-15 04:00:00,Wednesday
Line O,259,2023-03-15 04:00:00,Wednesday
Line P,1389,2023-03-15 04:00:00,Wednesday
Line T,1414,2023-03-15 04:00:00,Wednesday
Line 1,3012,2023-03-16 04:00:00,Thursday
Line 2,183,2023-03-16 04:00:00,Thursday
Line A,16382,2023-03-16 04:00:00,Thursday
Line B,3200,2023-03-16 04:00:00,Thursday
Line H,235,2023-03-16 04:00:00,Thursday
Line J,1396,2023-03-16 04:00:00,Thursday
Line K,2438,2023-03-16 04:00:00,Thursday
Line L,0,2023-03-16 04:00:00,Thursday
Line M,372,2023-03-16 04:00:00,Thursday
Line O,266,2023-03-16 04:00:00,Thursday
Line P,1367,2023-03-16 04:00:00,Thursday
Line T,1430,2023-03-16 04:00:00,Thursday
Line 1,2958,2023-03-17 04:00:00,Friday
Line 2,201,2023-03-17 04:00:00,Friday
Line A,16286,2023-03-17 04:00:00,Friday
Line B,3158,2023-03-17 04:00:00,Friday
Line H,214,2023-03-17 04:00:00,Friday
Line J,1477,2023-03-17 04:00:00,Friday
Line K,2513,2023-03-17 04:00:00,Friday
Line L,0,2023-03-17 04:00:00,Friday
Line M,391,2023-03-17 04:00:00,Friday
Line O,291,2023-03-17 04:00:00,Friday
Line P,1327,2023-03-17 04:00:00,Friday
Line T,1423,2023-03-17 04:00:00,Friday
Line 1,2263,2023-03-18 04:00:00,Saturday
Line 2,133,2023-03-18 04:00:00,Saturday
Line A,12199,2023-03-18 04:00:00,Saturday
Line B,2373,2023-03-18 04:00:00,Saturday
Line H,172,2023-03-18 04:00:00,Saturday
Line J,1021,2023-03-18 04:00:00,Saturday
Line K,1941,2023-03-18 04:00:00,Saturday
Line L,0,2023-03-18 04:00:00,Saturday
Line M,266,2023-03-18 04:00:00,Saturday
Line O,212,2023-03-18 04:00:00,Saturday
Line P,956,2023-03-18 04:00:00,Saturday
Line T,1039,2023-03-18 04:00:00,Saturday
Line 1,451,2023-03-19 04:00:00,Sunday
Line 2,23,2023-03-19 04:00:00,Sunday
Line A,3627,2023-03-19 04:00:00,Sunday
Line B,670,2023-03-19 04:00:00,Sunday
Line H,0,2023-03-19 04:00:00,Sunday
Line J,0,2023-03-19 04:00:00,Sunday
Line K,0,2023-03-19 04:00:00,Sunday
Line L,0,2023-03-19 04:00:00,Sunday
Line M,0,2023-03-19 04:00:00,Sunday
Line O,16,2023-03-19 04:00:00,Sunday
Line P,0,2023-03-19 04:00:00,Sunday
Line T,184,2023-03-19 04:00:00,Sunday
Line 1,503,2023-03-20 04:00:00,Monday
Line 2,23,2023-03-20 04:00:00,Monday
Line A,3758,2023-03-20 04:00:00,Monday
Line B,752,2023-03-20 04:00:00,Monday
Line H,0,2023-03-20 04:00:00,Monday
Line J,0,2023-03-20 04:00:00,Monday
Line K,0,2023-03-20 04:00:00,Monday
Line L,0,2023-03-20 04:00:00,Monday
Line M,0,2023-03-20 04:00:00,Monday
Line O,20,2023-03-20 04:00:00,Monday
Line P,0,2023-03-20 04:00:00,Monday
Line T,199,2023-03-20 04:00:00,Monday
Line 1,3130,2023-03-21 04:00:00,Tuesday
Line 2,185,2023-03-21 04:00:00,Tuesday
Line A,17093,2023-03-21 04:00:00,Tuesday
Line B,3448,2023-03-21 04:00:00,Tuesday
Line H,291,2023-03-21 04:00:00,Tuesday
Line J,1474,2023-03-21 04:00:00,Tuesday
Line K,2481,2023-03-21 04:00:00,Tuesday
Line M,392,2023-03-21 04:00:00,Tuesday
Line O,243,2023-03-21 04:00:00,Tuesday
Line P,1463,2023-03-21 04:00:00,Tuesday
Line T,1530,2023-03-21 04:00:00,Tuesday
Line 1,3044,2023-03-22 04:00:00,Wednesday
Line 2,193,2023-03-22 04:00:00,Wednesday
Line A,16699,2023-03-22 04:00:00,Wednesday
Line B,3297,2023-03-22 04:00:00,Wednesday
Line H,247,2023-03-22 04:00:00,Wednesday
Line J,1474,2023-03-22 04:00:00,Wednesday
Line K,2467,2023-03-22 04:00:00,Wednesday
Line L,0,2023-03-22 04:00:00,Wednesday
Line M,391,2023-03-22 04:00:00,Wednesday
Line O,230,2023-03-22 04:00:00,Wednesday
Line P,1416,2023-03-22 04:00:00,Wednesday
Line T,1478,2023-03-22 04:00:00,Wednesday
Line 1,3058,2023-03-23 04:00:00,Thursday
Line 2,190,2023-03-23 04:00:00,Thursday
Line A,16419,2023-03-23 04:00:00,Thursday
Line B,3294,2023-03-23 04:00:00,Thursday
Line H,254,2023-03-23 04:00:00,Thursday
Line J,1394,2023-03-23 04:00:00,Thursday
Line K,2504,2023-03-23 04:00:00,Thursday
Line L,0,2023-03-23 04:00:00,Thursday
Line M,391,2023-03-23 04:00:00,Thursday
Line O,259,2023-03-23 04:00:00,Thursday
Line P,1426,2023-03-23 04:00:00,Thursday
Line T,1414,2023-03-23 04:00:00,Thursday
Line 1,3045,2023-03-24 04:00:00,Friday
Line 2,196,2023-03-24 04:00:00,Friday
Line A,16395,2023-03-24 04:00:00,Friday
Line B,3285,2023-03-24 04:00:00,Friday
Line H,220,2023-03-24 04:00:00,Friday
Line J,1426,2023-03-24 04:00:00,Friday
Line K,2509,2023-03-24 04:00:00,Friday
Line L,0,2023-03-24 04:00:00,Friday
Line M,380,2023-03-24 04:00:00,Friday
Line O,239,2023-03-24 04:00:00,Friday
Line P,1436,2023-03-24 04:00:00,Friday
Line T,1453,2023-03-24 04:00:00,Friday
Line 1,2225,2023-03-25 04:00:00,Saturday
Line 2,124,2023-03-25 04:00:00,Saturday
Line A,11987,2023-03-25 04:00:00,Saturday
Line B,2381,2023-03-25 04:00:00,Saturday
Line H,174,2023-03-25 04:00:00,Saturday
Line J,1003,2023-03-25 04:00:00,Saturday
Line K,1954,2023-03-25 04:00:00,Saturday
Line L,0,2023-03-25 04:00:00,Saturday
Line M,250,2023-03-25 04:00:00,Saturday
Line O,171,2023-03-25 04:00:00,Saturday
Line P,954,2023-03-25 04:00:00,Saturday
Line T,1045,2023-03-25 04:00:00,Saturday
Line 1,460,2023-03-26 04:00:00,Sunday
Line 2,20,2023-03-26 04:00:00,Sunday
Line A,3802,2023-03-26 04:00:00,Sunday
Line B,803,2023-03-26 04:00:00,Sunday
Line H,0,2023-03-26 04:00:00,Sunday
Line J,0,2023-03-26 04:00:00,Sunday
Line K,0,2023-03-26 04:00:00,Sunday
Line L,0,2023-03-26 04:00:00,Sunday
Line M,0,2023-03-26 04:00:00,Sunday
Line O,17,2023-03-26 04:00:00,Sunday
Line P,0,2023-03-26 04:00:00,Sunday
Line T,170,2023-03-26 04:00:00,Sunday
Line 1,3131,2023-03-27 04:00:00,Monday
Line 2,177,2023-03-27 04:00:00,Monday
Line A,17768,2023-03-27 04:00:00,Monday
Line B,3388,2023-03-27 04:00:00,Monday
Line H,249,2023-03-27 04:00:00,Monday
Line J,1470,2023-03-27 04:00:00,Monday
Line K,2590,2023-03-27 04:00:00,Monday
Line M,376,2023-03-27 04:00:00,Monday
Line O,285,2023-03-27 04:00:00,Monday
Line P,1469,2023-03-27 04:00:00,Monday
Line T,1466,2023-03-27 04:00:00,Monday
Line 1,3079,2023-03-28 04:00:00,Tuesday
Line 2,174,2023-03-28 04:00:00,Tuesday
Line A,16694,2023-03-28 04:00:00,Tuesday
Line B,3235,2023-03-28 04:00:00,Tuesday
Line H,243,2023-03-28 04:00:00,Tuesday
Line J,1381,2023-03-28 04:00:00,Tuesday
Line K,2485,2023-03-28 04:00:00,Tuesday
Line L,0,2023-03-28 04:00:00,Tuesday
Line M,380,2023-03-28 04:00:00,Tuesday
Line O,261,2023-03-28 04:00:00,Tuesday
Line P,1423,2023-03-28 04:00:00,Tuesday
Line T,1440,2023-03-28 04:00:00,Tuesday
Line 1,3065,2023-03-29 04:00:00,Wednesday
Line 2,189,2023-03-29 04:00:00,Wednesday
Line A,16642,2023-03-29 04:00:00,Wednesday
Line B,3256,2023-03-29 04:00:00,Wednesday
Line H,233,2023-03-29 04:00:00,Wednesday
Line J,1461,2023-03-29 04:00:00,Wednesday
Line K,2454,2023-03-29 04:00:00,Wednesday
Line L,0,2023-03-29 04:00:00,Wednesday
Line M,379,2023-03-29 04:00:00,Wednesday
Line O,282,2023-03-29 04:00:00,Wednesday
Line P,1457,2023-03-29 04:00:00,Wednesday
Line T,1402,2023-03-29 04:00:00,Wednesday
Line 1,3088,2023-03-30 04:00:00,Thursday
Line 2,201,2023-03-30 04:00:00,Thursday
Line A,16570,2023-03-30 04:00:00,Thursday
Line B,3190,2023-03-30 04:00:00,Thursday
Line H,223,2023-03-30 04:00:00,Thursday
Line J,1455,2023-03-30 04:00:00,Thursday
Line K,2504,2023-03-30 04:00:00,Thursday
Line L,0,2023-03-30 04:00:00,Thursday
Line M,373,2023-03-30 04:00:00,Thursday
Line O,259,2023-03-30 04:00:00,Thursday
Line P,1379,2023-03-30 04:00:00,Thursday
Line T,1404,2023-03-30 04:00:00,Thursday
Line 1,3011,2023-03-31 04:00:00,Friday
Line 2,164,2023-03-31 04:00:00,Friday
Line A,15999,2023-03-31 04:00:00,Friday
Line B,3112,2023-03-31 04:00:00,Friday
Line H,209,2023-03-31 04:00:00,Friday
Line J,1407,2023-03-31 04:00:00,Friday
Line K,2419,2023-03-31 04:00:00,Friday
Line L,0,2023-03-31 04:00:00,Friday
Line M,364,2023-03-31 04:00:00,Friday
Line O,254,2023-03-31 04:00:00,Friday
Line P,1357,2023-03-31 04:00:00,Friday
Line T,1371,2023-03-31 04:00:00,Friday
Line 1,2297,2023-04-01 04:00:00,Saturday
Line 2,128,2023-04-01 04:00:00,Saturday
Line A,12453,2023-04-01 04:00:00,Saturday
Line B,2359,2023-04-01 04:00:00,Saturday
Line H,161,2023-04-01 04:00:00,Saturday
Line J,1075,2023-04-01 04:00:00,Saturday
Line K,2006,2023-04-01 04:00:00,Saturday
Line L,0,2023-04-01 04:00:00,Saturday
Line M,281,2023-04-01 04:00:00,Saturday
Line O,203,2023-04-01 04:00:00,Saturday
Line P,983,2023-04-01 04:00:00,Saturday
Line T,1058,2023-04-01 04:00:00,Saturday
Line 1,459,2023-04-02 04:00:00,Sunday
Line 2,23,2023-04-02 04:00:00,Sunday
Line A,3801,2023-04-02 04:00:00,Sunday
Line B,682,2023-04-02 04:00:00,Sunday
Line H,0,2023-04-02 04:00:00,Sunday
Line J,0,2023-04-02 04:00:00,Sunday
Line K,0,2023-04-02 04:00:00,Sunday
Line L,0,2023-04-02 04:00:00,Sunday
Line M,0,2023-04-02 04:00:00,Sunday
Line O,19,2023-04-02 04:00:00,Sunday
Line P,2,2023-04-02 04:00:00,Sunday
Line T,194,2023-04-02 04:00:00,Sunday
Line 1,2461,2023-04-03 04:00:00,Monday
Line 2,364,2023-04-03 04:00:00,Monday
Line A,15018,2023-04-03 04:00:00,Monday
Line B,2877,2023-04-03 04:00:00,Monday
Line H,235,2023-04-03 04:00:00,Monday
Line J,1450,2023-04-03 04:00:00,Monday
Line K,2332,2023-04-03 04:00:00,Monday
Line L,0,2023-04-03 04:00:00,Monday
Line M,347,2023-04-03 04:00:00,Monday
Line O,226,2023-04-03 04:00:00,Monday
Line P,1280,2023-04-03 04:00:00,Monday
Line T,1229,2023-04-03 04:00:00,Monday
Line 1,2672,2023-04-04 04:00:00,Tuesday
Line 2,155,2023-04-04 04:00:00,Tuesday
Line A,14941,2023-04-04 04:00:00,Tuesday
Line B,2835,2023-04-04 04:00:00,Tuesday
Line H,222,2023-04-04 04:00:00,Tuesday
Line J,1387,2023-04-04 04:00:00,Tuesday
Line K,2422,2023-04-04 04:00:00,Tuesday
Line L,0,2023-04-04 04:00:00,Tuesday
Line M,317,2023-04-04 04:00:00,Tuesday
Line O,240,2023-04-04 04:00:00,Tuesday
Line P,1314,2023-04-04 04:00:00,Tuesday
